国家,date,累计确诊,confirmed,累计治愈,新增治愈,累计死亡,新增死亡
美国,1/23/2020,1,1,0,0,0,0
美国,1/24/2020,1,0,0,0,0,0
美国,1/25/2020,2,1,0,0,0,0
美国,1/26/2020,2,0,0,0,0,0
美国,1/27/2020,5,3,0,0,0,0
美国,1/28/2020,5,0,0,0,0,0
美国,1/29/2020,5,0,0,0,0,0
美国,1/30/2020,5,0,0,0,0,0
美国,1/31/2020,6,1,0,0,0,0
美国,2/1/2020,7,1,0,0,0,0
美国,2/2/2020,8,1,0,0,0,0
美国,2/3/2020,11,3,0,0,0,0
美国,2/4/2020,11,0,0,0,0,0
美国,2/5/2020,11,0,0,0,0,0
美国,2/6/2020,12,1,1,1,0,0
美国,2/7/2020,12,0,1,0,0,0
美国,2/8/2020,12,0,3,2,0,0
美国,2/9/2020,12,0,3,0,0,0
美国,2/10/2020,12,0,3,0,0,0
美国,2/11/2020,13,1,3,0,0,0
美国,2/12/2020,13,0,3,0,0,0
美国,2/13/2020,14,1,3,0,0,0
美国,2/14/2020,15,1,3,0,0,0
美国,2/15/2020,15,0,3,0,0,0
美国,2/16/2020,15,0,3,0,0,0
美国,2/17/2020,15,0,3,0,0,0
美国,2/18/2020,15,0,3,0,0,0
美国,2/19/2020,15,0,3,0,0,0
美国,2/20/2020,15,0,3,0,0,0
美国,2/21/2020,15,0,3,0,0,0
美国,2/22/2020,35,20,3,0,0,0
美国,2/23/2020,35,0,3,0,0,0
美国,2/24/2020,35,0,3,0,0,0
美国,2/25/2020,53,18,3,0,0,0
美国,2/26/2020,53,0,3,0,0,0
美国,2/27/2020,59,6,3,0,0,0
美国,2/28/2020,59,0,3,0,0,0
美国,2/29/2020,62,3,3,0,0,0
美国,3/1/2020,62,0,3,0,0,0
美国,3/2/2020,62,0,3,0,0,0
美国,3/3/2020,64,2,3,0,2,2
美国,3/4/2020,108,44,3,0,6,4
美国,3/5/2020,129,21,3,0,9,3
美国,3/6/2020,148,19,3,0,10,1
美国,3/7/2020,213,65,10,7,19,9
美国,3/8/2020,213,0,10,0,22,3
美国,3/9/2020,472,259,10,0,26,4
美国,3/10/2020,696,224,10,0,29,3
美国,3/11/2020,987,291,10,0,29,0
美国,3/12/2020,1264,277,31,21,36,7
美国,3/13/2020,1678,414,41,10,41,5
美国,3/14/2020,2995,1317,56,15,60,19
美国,3/15/2020,3782,787,56,0,69,9
美国,3/16/2020,4661,879,56,0,90,21
美国,3/17/2020,6536,1875,106,50,116,26
美国,3/18/2020,9459,2923,108,2,153,37
美国,3/19/2020,14387,4928,121,13,204,51
美国,3/20/2020,19624,5237,147,26,260,56
美国,3/21/2020,25493,5869,171,24,307,47
美国,3/22/2020,33222,7729,178,7,414,107
美国,3/23/2020,43901,10679,178,0,557,143
美国,3/24/2020,54893,10992,348,170,787,230
美国,3/25/2020,65285,10392,361,13,944,157
美国,3/26/2020,83285,18000,713,352,1285,341
美国,3/27/2020,101512,18227,862,149,1598,313
美国,3/28/2020,121701,20189,961,99,2040,442
美国,3/29/2020,140340,18639,3677,2716,2449,409
美国,3/30/2020,163325,22985,5595,1918,3009,560
美国,3/31/2020,187848,24523,6043,448,3889,880
美国,4/1/2020,212054,24206,8434,2391,4967,1078
美国,4/2/2020,243217,31163,9001,567,5900,933
美国,4/3/2020,273880,30663,9521,520,7077,1177
美国,4/4/2020,308850,34970,14652,5131,8407,1330
美国,4/5/2020,336677,27827,17266,2614,9607,1200
美国,4/6/2020,366882,30205,19346,2080,10881,1274
美国,4/7/2020,395582,28700,20191,845,12684,1803
美国,4/8/2020,426300,30718,22292,2101,14622,1938
美国,4/9/2020,465088,38788,25139,2847,16510,1888
美国,4/10/2020,501272,36184,27239,2100,18664,2154
美国,4/11/2020,529484,28212,29444,2205,20469,1805
美国,4/12/2020,558447,28963,31986,2542,21991,1522
美国,4/13/2020,586941,28494,36948,4962,23640,1649
美国,4/14/2020,611156,24215,38675,1727,25924,2284
美国,4/15/2020,641762,30606,48513,9838,28442,2518
美国,4/16/2020,675640,33878,57271,8758,34522,6080
美国,4/17/2020,700234,24594,59158,1887,36922,2400
美国,4/18/2020,736790,36556,67438,8280,38920,1998
美国,4/19/2020,762896,26106,70806,3368,40495,1575
美国,4/20/2020,789383,26487,71832,1026,42303,1808
美国,4/21/2020,816336,26953,82676,10844,45172,2869
美国,4/22/2020,846294,29958,83917,1241,47524,2352
美国,4/23/2020,878408,32114,85549,1632,49740,2216
美国,4/24/2020,922293,43885,93283,7734,52061,2321
美国,4/25/2020,955491,33198,116186,22903,54121,2060
美国,4/26/2020,986045,30554,118777,2591,55377,1256
美国,4/27/2020,1007514,21469,137720,18943,56624,1247
美国,4/28/2020,1030681,23167,140288,2568,58682,2058
美国,4/29/2020,1057253,26572,145389,5101,61349,2667
美国,4/30/2020,1093724,36471,151784,6395,63801,2452
美国,5/1/2020,1127184,33460,160180,8396,65639,1838
美国,5/2/2020,1158393,31209,160666,486,67290,1651
